sepal_length,sepal_width,petal_length,petal_width,species
6.22,2.18,4.77,1.08,versicolor
5.93,2.63,4.34,1.57,versicolor
5.9,2.37,4.5,1.61,versicolor
6.53,2.68,4.14,1.39,versicolor
6.2,2.53,4.28,1.67,versicolor
6.0,2.87,4.31,1.25,versicolor
5.9,2.75,4.4,1.63,versicolor
6.16,2.96,4.64,1.23,versicolor
5.66,3.04,4.5,1.54,versicolor
5.65,2.74,4.31,1.24,versicolor
5.81,2.35,4.53,1.85,versicolor
5.79,2.83,4.17,1.7,versicolor
7.06,2.63,5.43,2.43,virginica
6.61,3.03,4.89,1.95,virginica
6.78,3.43,5.69,1.83,virginica
6.29,2.45,5.18,2.34,virginica
6.47,2.6,5.9,1.5,virginica
6.88,2.9,5.6,2.2,virginica
6.58,3.38,5.5,1.9,virginica
6.3,2.57,5.29,2.29,virginica
6.75,3.42,6.32,2.21,virginica
6.65,2.61,5.43,2.66,virginica
6.66,2.96,5.59,1.43,virginica
6.25,2.61,4.86,2.23,virginica
6.79,2.95,5.6,1.7,virginica
6.64,3.23,5.96,2.47,virginica
6.65,2.96,5.25,1.82,virginica
6.69,3.17,5.51,2.5,virginica
6.69,3.0,5.44,2.02,virginica
6.22,2.71,5.6,1.82,virginica
6.42,3.37,5.44,2.39,virginica
6.5,3.46,5.64,1.47,virginica
6.87,2.94,4.91,2.03,virginica
6.55,2.61,5.32,2.16,virginica
6.92,3.34,5.87,2.34,virginica
5.75,2.78,5.56,1.19,virginica
6.73,3.27,5.27,1.89,virginica
6.22,2.99,5.49,2.0,virginica
6.19,3.12,5.4,2.29,virginica
6.59,2.55,5.07,2.02,virginica
6.35,3.14,5.74,2.01,virginica
5.99,2.64,5.67,1.68,virginica
6.83,2.97,5.66,1.73,virginica
6.47,2.11,5.44,2.17,virginica
6.23,2.75,5.48,2.02,virginica
6.26,3.2,5.01,2.33,virginica
6.08,2.75,5.9,1.7,virginica
6.0,3.02,5.22,1.67,virginica
6.29,2.78,5.21,1.69,virginica
6.98,2.8,5.79,1.58,virginica
6.66,2.62,5.36,2.19,virginica
6.34,2.41,5.33,1.95,virginica
6.67,2.7,5.41,2.02,virginica
6.01,2.97,5.25,2.13,virginica
6.47,2.95,4.78,1.97,virginica
6.39,2.72,5.35,1.62,virginica
6.55,3.2,5.68,1.84,virginica
7.0,3.26,5.22,1.96,virginica
6.01,2.96,5.71,2.38,virginica
6.37,2.46,5.45,2.41,virginica
6.54,3.38,5.75,2.47,virginica
6.68,2.8,5.63,2.76,virginica
